N,종목명,현재가,전일비,등락률,액면가,고가,저가,ROA
97.0,BGF리테일,183200.0,600.0,-0.33%,1000.0,185500.0,182900.0,5.94
98.0,NH투자증권,9520.0,60.0,+0.63%,5000.0,9580.0,9420.0,1.54
99.0,GS리테일,29950.0,0.0,0.00%,1000.0,30350.0,29850.0,9.63
100.0,TIGER 차이나전기차SOLACTIVE,12440.0,110.0,-0.88%,0.0,12680.0,12410.0,
101.0,KODEX KOFR금리액티브(합성),102125.0,5.0,0.00%,0.0,102130.0,102125.0,
102.0,일진머티리얼즈,65000.0,2800.0,+4.50%,500.0,65400.0,62500.0,4.46
103.0,에스디바이오센서,28700.0,1000.0,+3.61%,500.0,29050.0,27700.0,47.66
104.0,삼성증권,33500.0,350.0,+1.06%,5000.0,33650.0,33150.0,1.49
105.0,쌍용C&E,5930.0,20.0,+0.34%,100.0,5990.0,5900.0,5.4
106.0,현대미포조선,73600.0,200.0,-0.27%,5000.0,74700.0,73500.0,-4.28
107.0,한국가스공사,31350.0,0.0,0.00%,5000.0,31600.0,31200.0,2.42
108.0,씨에스윈드,67600.0,700.0,+1.05%,500.0,68900.0,67200.0,4.88
109.0,현대해상,31600.0,100.0,+0.32%,500.0,31650.0,31200.0,0.85
110.0,현대로템,25750.0,400.0,+1.58%,5000.0,25900.0,25500.0,1.24
111.0,키움증권,107000.0,3000.0,+2.88%,5000.0,107400.0,102500.0,2.18
112.0,대우조선해양,25900.0,250.0,-0.96%,5000.0,26900.0,25300.0,-16.23
113.0,한진칼,41400.0,950.0,+2.35%,2500.0,41850.0,40550.0,-0.99
114.0,KODEX 200선물인버스2X,2790.0,120.0,-4.12%,0.0,2875.0,2780.0,
115.0,롯데쇼핑,88900.0,300.0,+0.34%,5000.0,89800.0,88500.0,-0.82
116.0,한솔케미칼,221500.0,11000.0,+5.23%,5000.0,224000.0,212500.0,14.45
117.0,한화시스템,13240.0,30.0,+0.23%,5000.0,13530.0,13070.0,2.97
